ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2022-09-12T12:56:46.000,0.0178,-0.6355,-0.4417,-26.67,-663.55,-152.03
2022-09-12T13:06:46.000,0.8931,0.5936,0.0132,709.56,499.80,41.51
2022-09-12T13:16:46.000,1.0521,-0.2304,0.0256,601.07,-68.56,-85.20
2022-09-12T13:26:46.000,0.6610,-0.7886,0.0230,447.42,-481.09,-98.23
2022-09-12T13:36:46.000,0.6632,-0.7858,0.0231,449.67,-513.75,-84.93
2022-09-12T13:46:46.000,-0.1850,-0.9265,0.0164,360.44,-233.70,-314.00
2022-09-12T13:56:46.000,-0.8109,-0.4618,0.0129,314.34,-493.20,-310.48
2022-09-12T14:06:46.000,0.7005,0.2824,0.1117,194.51,197.30,-77.48
2022-09-12T14:16:46.000,0.2446,-0.9409,-0.0047,-47.69,-496.65,4.65
2022-09-12T14:26:46.000,0.2595,-0.9389,-0.0054,-35.86,-498.16,-20.95
2022-09-12T14:36:46.000,0.2614,-0.9376,-0.0040,-50.26,-494.09,-1.45
2022-09-12T14:46:46.000,0.2586,-0.9393,-0.0040,-44.51,-494.59,-11.69
2022-09-12T14:56:46.000,0.2603,-0.9389,-0.0042,-46.88,-495.27,-9.13
2022-09-12T15:06:46.000,0.2610,-0.9378,-0.0048,-64.38,-496.40,69.80
2022-09-12T15:16:46.000,0.2302,-0.9435,-0.0055,-74.61,-500.96,97.00
2022-09-12T15:26:46.000,-0.1906,-0.9250,0.0089,-222.97,-471.50,-12.67
2022-09-12T15:36:46.000,-0.1960,-0.9230,0.0094,-245.68,-458.47,62.23
2022-09-12T15:46:46.000,0.6997,-0.7533,-0.0153,134.03,-447.11,75.50
2022-09-12T15:56:46.000,0.7028,-0.7505,-0.0145,135.22,-447.90,64.96
2022-09-12T16:06:46.000,0.7041,-0.7492,-0.0150,139.42,-443.84,57.78
2022-09-12T16:16:46.000,0.7043,-0.7499,-0.0149,143.39,-446.26,53.92
2022-09-12T16:26:46.000,0.7065,-0.7474,-0.0153,139.66,-444.10,70.73
2022-09-12T16:36:46.000,0.7082,-0.7465,-0.0152,140.59,-444.45,72.41
2022-09-12T16:46:46.000,0.7089,-0.7464,-0.0156,140.21,-447.26,75.93
2022-09-12T16:56:46.000,0.7074,-0.7467,-0.0156,142.67,-446.82,79.62
2022-09-12T17:06:46.000,0.7094,-0.7460,-0.0166,141.82,-450.79,75.33
2022-09-12T17:16:46.000,0.7096,-0.7459,-0.0158,140.06,-449.75,70.31
2022-09-12T17:26:46.000,0.7090,-0.7456,-0.0157,146.63,-444.54,76.77
2022-09-12T17:36:46.000,0.7099,-0.7458,-0.0154,141.87,-444.11,75.23
2022-09-12T17:46:46.000,0.7098,-0.7454,-0.0156,142.08,-446.02,77.80
2022-09-12T17:56:46.000,0.7104,-0.7458,-0.0154,150.44,-449.65,62.08
2022-09-12T18:06:46.000,0.7098,-0.7454,-0.0153,144.42,-449.59,69.48
2022-09-12T18:16:46.000,0.7096,-0.7450,-0.0158,147.38,-451.20,67.63
2022-09-12T18:26:46.000,0.7102,-0.7459,-0.0154,148.54,-449.12,68.63
2022-09-12T18:36:46.000,0.7096,-0.7453,-0.0155,147.27,-450.91,78.08
2022-09-12T18:46:46.000,0.7100,-0.7447,-0.0152,144.82,-447.50,68.08
2022-09-12T18:56:46.000,0.7111,-0.7454,-0.0156,145.73,-448.14,61.16
2022-09-12T19:06:46.000,0.7109,-0.7449,-0.0151,140.74,-451.74,85.31
2022-09-12T19:16:46.000,0.7106,-0.7448,-0.0155,138.41,-448.72,55.85
2022-09-12T19:26:46.000,0.7096,-0.7449,-0.0153,135.24,-450.10,83.80
2022-09-12T19:36:46.000,0.7102,-0.7450,-0.0158,140.09,-447.74,56.30
2022-09-12T19:46:46.000,0.7106,-0.7447,-0.0159,133.89,-448.79,71.30
2022-09-12T19:56:46.000,0.7098,-0.7448,-0.0155,141.48,-444.79,92.57
2022-09-12T20:06:46.000,0.7105,-0.7450,-0.0155,138.18,-445.69,39.47
2022-09-12T20:16:46.000,0.7105,-0.7444,-0.0159,136.43,-446.69,46.70
2022-09-12T20:26:46.000,0.7107,-0.7450,-0.0154,139.04,-446.14,39.93
2022-09-12T20:36:46.000,0.7110,-0.7446,-0.0157,137.04,-445.74,37.27
2022-09-12T20:46:46.000,0.7102,-0.7451,-0.0157,134.92,-448.02,43.07
2022-09-12T20:56:46.000,0.7100,-0.7451,-0.0151,136.31,-444.46,40.83
2022-09-12T21:06:46.000,0.7040,-0.7493,-0.0150,131.62,-444.61,30.31
2022-09-12T21:16:46.000,0.7055,-0.7476,-0.0154,132.82,-443.20,50.11
