ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2022-09-12T14:35:56.000,0.1378,-0.1813,-0.4707,89.34,15.49,-67.48
2022-09-12T14:45:56.000,0.9847,-0.3481,0.0213,76.29,493.36,-234.88
2022-09-12T14:55:56.000,0.8883,-0.4918,0.0498,358.15,-250.84,185.31
2022-09-12T15:05:56.000,0.9133,0.4571,0.0291,308.79,296.35,184.58
2022-09-12T15:15:56.000,0.9473,0.3929,0.0397,344.15,221.93,280.52
2022-09-12T15:25:56.000,0.0119,0.9471,0.0104,-30.99,479.10,256.63
2022-09-12T15:35:56.000,0.9961,0.2767,0.0381,349.02,218.84,237.69
2022-09-12T15:45:56.000,0.9743,0.3335,0.0451,339.60,244.30,233.34
2022-09-12T15:55:56.000,0.9698,0.3450,0.0335,341.21,258.94,215.43
2022-09-12T16:05:56.000,0.9637,0.3589,0.0305,340.96,264.09,212.23
2022-09-12T16:15:56.000,-0.1273,0.9356,0.0244,-128.03,454.91,179.24
2022-09-12T16:25:56.000,-0.0180,0.9451,0.0181,-14.98,474.51,279.71
2022-09-12T16:35:56.000,0.0281,0.9464,0.0184,-73.31,479.31,93.39
2022-09-12T16:45:56.000,0.0246,0.9460,0.0197,-35.63,475.79,246.28
2022-09-12T16:55:56.000,0.0240,0.9463,0.0177,-57.69,472.53,207.53
2022-09-12T17:05:56.000,-0.0010,0.9461,0.0261,-91.55,472.90,124.89
2022-09-12T17:15:56.000,-0.0010,0.9462,0.0238,-94.78,470.64,143.54
2022-09-12T17:25:56.000,-0.0025,0.9461,0.0281,-92.46,473.86,114.19
2022-09-12T17:35:56.000,-0.0031,0.9456,0.0254,48.54,474.18,315.17
2022-09-12T17:45:56.000,-0.0047,0.9457,0.0247,-97.00,477.00,157.03
2022-09-12T17:55:56.000,-0.0044,0.9460,0.0263,-99.18,473.48,123.97
2022-09-12T18:05:56.000,-0.0041,0.9456,0.0260,-100.53,474.84,135.06
2022-09-12T18:15:56.000,-0.0053,0.9463,0.0266,-40.79,473.09,258.69
2022-09-12T18:25:56.000,-0.0059,0.9459,0.0261,-87.34,475.45,66.04
2022-09-12T18:35:56.000,-0.0004,0.9464,0.0250,-69.40,475.00,208.19
2022-09-12T18:45:56.000,-0.0059,0.9459,0.0250,-78.48,475.49,203.49
2022-09-12T18:55:56.000,-0.0070,0.9459,0.0224,61.16,478.96,313.37
2022-09-12T19:05:56.000,-0.0131,0.9459,-0.0013,87.34,485.86,307.03
2022-09-12T19:15:56.000,-0.0105,0.9458,0.0000,89.62,483.88,306.29
2022-09-12T19:25:56.000,-0.0180,0.9451,0.0005,93.00,483.24,305.77
2022-09-12T19:35:56.000,-0.0069,0.9456,0.0249,105.82,484.79,319.97
2022-09-12T19:45:56.000,-0.0085,0.9460,0.0252,146.95,482.35,312.78
2022-09-12T19:55:56.000,-0.0085,0.9454,0.0252,179.29,481.65,292.62
2022-09-12T20:05:56.000,-0.0087,0.9461,0.0249,-82.21,478.38,190.76
2022-09-12T20:15:56.000,-0.0086,0.9457,0.0257,-97.66,477.43,129.96
2022-09-12T20:25:56.000,-0.0087,0.9457,0.0256,-100.89,477.48,113.16
2022-09-12T20:35:56.000,-0.0093,0.9455,0.0252,-94.24,475.53,131.14
2022-09-12T20:45:56.000,-0.0100,0.9460,0.0258,-96.61,475.20,128.99
2022-09-12T20:55:56.000,-0.0092,0.9462,0.0257,-97.74,475.99,140.52
2022-09-12T21:05:56.000,-0.0091,0.9461,0.0258,-91.88,472.81,153.82
2022-09-12T21:15:56.000,-0.0107,0.9458,0.0256,-94.14,473.53,166.97
2022-09-12T21:25:56.000,-0.0100,0.9459,0.0255,-87.20,469.16,174.41
2022-09-12T21:35:56.000,-0.0115,0.9458,0.0260,-89.31,476.00,187.68
2022-09-12T21:45:56.000,-0.0109,0.9457,0.0258,-87.40,472.88,179.74
2022-09-12T21:55:56.000,-0.0109,0.9457,0.0254,-91.70,473.45,178.53
2022-09-12T22:05:56.000,-0.0106,0.9458,0.0251,-93.73,475.83,157.06
2022-09-12T22:15:56.000,-0.0113,0.9458,0.0250,-91.11,472.73,192.19
2022-09-12T22:25:56.000,-0.0131,0.9456,0.0250,-102.85,475.66,160.36
2022-09-12T22:35:56.000,-0.0180,0.9454,0.0279,-100.19,472.25,168.36
2022-09-12T22:45:56.000,-0.0203,0.9459,0.0273,-103.20,474.34,173.57
2022-09-12T22:55:56.000,-0.0158,0.9457,0.0281,-100.24,470.19,162.89
2022-09-12T23:05:56.000,0.6441,0.7474,0.0306,193.11,440.45,180.78
2022-09-12T23:15:56.000,0.6518,0.7426,0.0303,194.85,431.19,183.36
2022-09-12T23:25:56.000,0.9488,0.3912,0.0260,319.04,302.60,173.39
2022-09-12T23:35:56.000,0.9477,0.3915,0.0251,322.86,298.68,177.62
2022-09-12T23:45:56.000,0.9459,0.3964,0.0257,327.70,295.13,185.26
2022-09-12T23:55:56.000,0.9471,0.3954,0.0263,325.00,296.61,189.17
2022-09-13T00:05:56.000,0.9478,0.3932,0.0260,323.02,304.16,168.11
2022-09-13T00:15:56.000,0.9469,0.3941,0.0256,321.80,307.43,147.51
2022-09-13T00:25:56.000,0.9471,0.3945,0.0259,318.97,298.48,181.33
2022-09-13T00:35:56.000,0.9474,0.3939,0.0257,324.06,304.09,153.71
2022-09-13T00:45:56.000,0.9469,0.3937,0.0262,321.40,306.64,148.36
2022-09-13T00:55:56.000,0.9470,0.3939,0.0258,319.50,304.74,158.06
2022-09-13T01:05:56.000,0.9478,0.3940,0.0254,318.32,299.14,161.14
2022-09-13T01:15:56.000,0.9466,0.3941,0.0258,322.57,299.95,186.02
2022-09-13T01:25:56.000,0.9467,0.3940,0.0265,324.62,289.70,211.61
2022-09-13T01:35:56.000,0.9484,0.3934,0.0258,321.75,302.10,126.97
2022-09-13T01:45:56.000,0.9473,0.3938,0.0262,325.54,287.83,197.39
2022-09-13T01:55:56.000,0.9470,0.3939,0.0262,329.87,283.48,207.37
2022-09-13T02:05:56.000,0.9469,0.3937,0.0261,338.80,272.43,231.92
2022-09-13T02:15:56.000,0.9465,0.3944,0.0211,321.22,291.33,187.92
2022-09-13T02:25:56.000,0.9418,0.4031,0.0292,327.64,288.05,216.24
2022-09-13T02:35:56.000,0.9421,0.4043,0.0303,336.90,249.25,266.23
2022-09-13T02:45:56.000,0.9305,0.4248,0.0314,322.12,293.19,217.31
2022-09-13T02:55:56.000,0.9281,0.4276,0.0360,339.11,251.24,274.69
2022-09-13T03:05:56.000,0.9131,0.4537,0.0279,320.94,290.09,241.83
2022-09-13T03:15:56.000,0.9095,0.4614,0.0271,325.66,280.43,260.32
2022-09-13T03:25:56.000,0.9108,0.4614,0.0313,305.59,320.68,187.86
2022-09-13T03:35:56.000,0.9064,0.4651,0.0368,331.01,266.70,279.49
2022-09-13T03:45:56.000,0.9198,0.4448,0.0294,320.26,299.66,226.07
2022-09-13T03:55:56.000,1.0158,0.2041,0.0483,367.95,173.75,263.46
2022-09-13T04:05:56.000,0.9910,0.2871,0.0317,353.71,229.99,228.96
2022-09-13T04:15:56.000,1.0109,0.2237,0.0444,363.39,203.18,246.62
2022-09-13T04:25:56.000,0.1380,0.9404,0.0206,-6.94,477.00,214.77
2022-09-13T04:35:56.000,1.0068,0.2381,0.0388,365.39,169.31,276.22
2022-09-13T04:45:56.000,0.2885,0.9134,0.0186,65.30,472.60,229.51
2022-09-13T04:55:56.000,0.0739,0.9456,0.0188,-55.96,479.49,195.77
2022-09-13T05:05:56.000,0.0894,0.9443,0.0188,-67.36,488.50,128.88
2022-09-13T05:15:56.000,0.4767,0.8458,0.0260,124.72,458.30,225.58
2022-09-13T05:25:56.000,1.0144,0.2102,0.0454,354.52,223.73,135.16
2022-09-13T05:35:56.000,1.0159,0.2039,0.0461,371.95,144.58,284.54
2022-09-13T05:45:56.000,0.0097,0.9465,0.0199,-88.86,474.79,127.04
2022-09-13T05:55:56.000,0.0075,0.9462,0.0199,-96.23,479.38,127.77
