ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2022-06-09T13:58:19.000,0.6956,-0.1383,-0.3011,153.91,-179.42,-315.15
2022-06-09T14:08:19.000,-0.8136,-0.3098,0.3451,-421.33,-254.26,202.91
2022-06-09T14:18:19.000,-0.6448,0.6828,-0.0024,-515.81,316.94,-96.02
2022-06-09T14:28:19.000,-0.6413,0.6866,0.0031,-522.89,335.53,-93.29
2022-06-09T14:38:19.000,-0.4449,0.8094,0.1486,-219.74,539.50,258.15
2022-06-09T14:48:19.000,-0.4529,0.8213,0.1015,-305.26,490.74,296.66
2022-06-09T14:58:19.000,-0.4528,0.8207,0.1023,-295.53,492.78,293.30
2022-06-09T15:08:19.000,-0.4527,0.8206,0.1028,-298.41,490.99,294.56
2022-06-09T15:18:19.000,-0.4534,0.8199,0.1019,-292.79,488.23,289.18
2022-06-09T15:28:19.000,-0.4534,0.8199,0.1021,-286.41,483.78,285.55
2022-06-09T15:38:19.000,-0.4539,0.8197,0.1024,-261.21,495.74,280.60
2022-06-09T15:48:19.000,-0.4550,0.8194,0.1030,-289.93,488.55,288.85
2022-06-09T15:58:19.000,-0.4548,0.8194,0.1036,-293.46,493.49,290.07
2022-06-09T16:08:19.000,-0.4548,0.8195,0.1041,-289.38,494.43,286.42
2022-06-09T16:18:19.000,-0.4557,0.8190,0.1061,-272.52,507.43,287.27
2022-06-09T16:28:19.000,-0.4550,0.8187,0.1082,-264.34,512.81,283.07
2022-06-09T16:38:19.000,-0.4563,0.8184,0.1092,-268.01,510.83,288.95
2022-06-09T16:48:19.000,-0.4548,0.8183,0.1082,-259.47,508.64,282.88
2022-06-09T16:58:19.000,-0.4552,0.8182,0.1081,-252.62,505.93,278.08
2022-06-09T17:08:19.000,-0.4561,0.8178,0.1084,-253.03,497.95,281.73
2022-06-09T17:18:19.000,-0.4556,0.8178,0.1071,-255.02,496.48,277.02
2022-06-09T17:28:19.000,-0.4527,0.8162,0.1061,-215.92,464.99,262.96
2022-06-09T17:38:19.000,-0.4538,0.8164,0.1026,-214.47,465.18,256.71
2022-06-09T17:48:19.000,-0.4513,0.8156,0.1057,-219.07,450.84,259.45
2022-06-09T17:58:19.000,-0.4548,0.8158,0.1034,-236.76,453.19,261.43
2022-06-09T18:08:19.000,-0.4526,0.8159,0.1055,-238.71,456.79,261.72
2022-06-09T18:18:19.000,-0.4510,0.8166,0.1044,-224.03,436.71,257.45
2022-06-09T18:28:19.000,-0.4533,0.8156,0.1108,-264.17,448.26,270.37
2022-06-09T18:38:19.000,-0.4576,0.8162,0.1126,-294.02,467.29,288.68
2022-06-09T18:48:19.000,-0.4570,0.8170,0.1119,-305.89,468.56,294.25
2022-06-09T18:58:19.000,-0.4571,0.8168,0.1130,-306.27,469.39,299.03
2022-06-09T19:08:19.000,-0.4576,0.8175,0.1108,-310.67,469.61,295.75
2022-06-09T19:18:19.000,-0.4567,0.8168,0.1124,-319.77,480.09,302.00
2022-06-09T19:28:19.000,-0.4581,0.8173,0.1114,-319.06,476.64,304.61
2022-06-09T19:38:19.000,-0.4575,0.8168,0.1137,-329.31,479.11,311.05
2022-06-09T19:48:19.000,-0.4586,0.8174,0.1133,-323.61,483.20,306.40
2022-06-09T19:58:19.000,-0.4590,0.8176,0.1158,-330.93,484.04,311.91
2022-06-09T20:08:19.000,-0.4585,0.8166,0.1187,-330.58,487.79,313.91
2022-06-09T20:18:19.000,-0.4604,0.8174,0.1195,-335.32,493.21,315.91
2022-06-09T20:28:19.000,-0.4598,0.8171,0.1187,-324.71,496.31,312.43
2022-06-09T20:38:19.000,-0.4590,0.8173,0.1184,-316.33,499.35,310.06
2022-06-09T20:48:19.000,-0.4592,0.8176,0.1180,-316.53,503.60,309.70
2022-06-09T20:58:19.000,-0.4597,0.8174,0.1190,-305.49,507.19,307.93
2022-06-09T21:08:19.000,-0.4600,0.8174,0.1177,-297.41,518.14,309.37
2022-06-09T21:18:19.000,-0.4612,0.8170,0.1190,-297.17,521.45,304.31
2022-06-09T21:28:19.000,-0.4601,0.8167,0.1193,-296.21,525.88,301.31
2022-06-09T21:38:19.000,-0.4605,0.8173,0.1185,-297.28,525.65,304.01
2022-06-09T21:48:19.000,-0.4597,0.8171,0.1191,-299.29,522.63,303.92
2022-06-09T21:58:19.000,-0.4605,0.8170,0.1185,-294.17,525.28,302.23
2022-06-09T22:08:19.000,-0.4609,0.8176,0.1176,-289.54,527.99,302.80
2022-06-09T22:18:19.000,-0.4605,0.8174,0.1168,-289.83,526.53,298.28
2022-06-09T22:28:19.000,-0.4611,0.8173,0.1163,-285.34,529.94,295.20
2022-06-09T22:38:19.000,-0.4610,0.8174,0.1163,-291.19,536.03,297.13
2022-06-09T22:48:19.000,-0.4618,0.8170,0.1166,-293.73,535.99,296.02
2022-06-09T22:58:19.000,-0.4618,0.8176,0.1170,-296.01,541.95,298.26
2022-06-09T23:08:19.000,-0.4622,0.8173,0.1175,-292.76,544.46,292.68
