ISO 8601 Time,Ax (g),Ay (g),Az (g),Mx (mG),My (mG),Mz (mG)
2022-09-12T14:44:41.000,-0.9430,-0.2982,0.0279,-860.28,-434.93,-52.61
2022-09-12T14:54:41.000,0.0327,-0.9307,-0.1371,243.37,-460.60,21.22
2022-09-12T15:04:41.000,0.0238,-0.9343,-0.1149,275.40,-443.40,50.97
2022-09-12T15:14:41.000,0.0266,-0.9327,-0.1220,275.92,-442.04,34.99
2022-09-12T15:24:41.000,0.0277,-0.9315,-0.1324,272.82,-442.32,33.32
2022-09-12T15:34:41.000,0.0279,-0.9281,-0.1453,280.56,-438.62,25.79
2022-09-12T15:44:41.000,0.0290,-0.9258,-0.1552,274.07,-442.29,30.11
2022-09-12T15:54:41.000,0.0308,-0.9257,-0.1562,284.46,-434.37,15.53
2022-09-12T16:04:41.000,0.0307,-0.9249,-0.1586,282.55,-437.47,19.41
2022-09-12T16:14:41.000,0.0305,-0.9240,-0.1617,278.86,-439.99,17.88
2022-09-12T16:24:41.000,0.0314,-0.9240,-0.1635,272.55,-446.14,37.19
2022-09-12T16:34:41.000,0.0312,-0.9235,-0.1648,270.25,-440.43,39.11
2022-09-12T16:44:41.000,0.0315,-0.9242,-0.1646,271.51,-442.58,26.47
2022-09-12T16:54:41.000,0.0311,-0.9230,-0.1655,274.02,-442.90,33.63
2022-09-12T17:04:41.000,0.0326,-0.9231,-0.1663,272.81,-441.57,28.78
2022-09-12T17:14:41.000,0.0320,-0.9235,-0.1661,268.89,-444.39,27.09
2022-09-12T17:24:41.000,0.0315,-0.9230,-0.1666,268.24,-443.55,31.47
2022-09-12T17:34:41.000,0.0317,-0.9234,-0.1667,264.54,-442.40,29.03
2022-09-12T17:44:41.000,0.0319,-0.9231,-0.1673,272.42,-444.99,33.42
2022-09-12T17:54:41.000,0.0319,-0.9230,-0.1676,273.84,-437.32,12.63
2022-09-12T18:04:41.000,0.0321,-0.9228,-0.1681,271.02,-441.34,23.82
2022-09-12T18:14:41.000,0.0312,-0.9226,-0.1680,268.59,-444.79,21.83
