date,gear,location,trt,oyster_num,weigh_boat,dirty_wt_boat,clean_wt_boat
8/15/22,BP,in,BPi,1,2.114,11.916,11.660
8/15/22,BP,in,BPi,2,2.116,28.168,27.339
8/15/22,BP,in,BPi,3,2.107,21.148,20.830
8/15/22,BP,in,BPi,4,2.115,48.826,48.476
8/15/22,BP,in,BPi,5,2.100,19.384,19.137
8/15/22,BP,in,BPi,6,2.103,15.279,14.978
8/15/22,BP,in,BPi,7,2.128,21.690,21.598
8/15/22,BP,in,BPi,8,2.097,22.616,22.417
8/15/22,BP,in,BPi,9,2.097,34.929,34.618
8/15/22,BP,in,BPi,10,2.138,20.602,20.270
8/15/22,BP,in,BPi,11,2.089,25.215,24.680
8/15/22,BP,in,BPi,12,2.122,25.643,25.073
8/15/22,BP,in,BPi,13,2.103,34.804,34.148
8/15/22,BP,in,BPi,14,2.117,24.281,23.747
8/15/22,BP,in,BPi,15,2.129,15.061,14.724
8/15/22,BP,in,BPi,16,2.089,24.941,24.692
8/15/22,BP,in,BPi,17,2.117,23.362,22.907
8/15/22,BP,in,BPi,18,2.111,36.886,36.319
8/15/22,BP,in,BPi,19,2.134,16.972,16.560
8/15/22,BP,in,BPi,20,2.081,26.281,25.951
8/15/22,FB,in,FBi,21,2.129,33.855,31.965
8/15/22,FB,in,FBi,22,2.123,36.247,33.196
8/15/22,FB,in,FBi,23,2.088,46.346,41.362
8/15/22,FB,in,FBi,24,2.090,25.084,23.250
8/15/22,FB,in,FBi,25,2.109,22.290,18.897
8/15/22,FB,in,FBi,26,2.106,26.146,22.199
8/15/22,FB,in,FBi,27,2.087,23.868,22.812
8/15/22,FB,in,FBi,28,2.094,15.561,13.807
8/15/22,FB,in,FBi,29,2.062,51.286,48.236
8/15/22,FB,in,FBi,30,2.108,33.539,32.002
8/15/22,FB,in,FBi,31,2.099,24.897,21.946
8/15/22,FB,in,FBi,32,2.104,30.519,29.387
8/15/22,FB,in,FBi,33,2.115,25.268,23.833
8/15/22,FB,in,FBi,34,2.110,23.440,19.934
8/15/22,FB,in,FBi,35,2.085,21.119,19.856
8/15/22,FB,in,FBi,36,2.108,18.711,15.968
8/15/22,FB,in,FBi,37,2.108,19.989,18.832
8/15/22,FB,in,FBi,38,2.106,18.124,15.591
8/15/22,FB,in,FBi,39,2.099,26.079,22.626
8/15/22,FB,in,FBi,40,2.072,22.868,19.667
8/15/22,FC,in,FCi,41,2.116,26.665,25.726
8/15/22,FC,in,FCi,42,2.099,39.107,37.851
8/15/22,FC,in,FCi,43,2.064,13.999,13.589
8/15/22,FC,in,FCi,44,2.085,27.222,27.715
8/15/22,FC,in,FCi,45,2.134,33.528,32.129
8/15/22,FC,in,FCi,46,2.099,31.472,30.234
8/15/22,FC,in,FCi,47,2.075,48.829,47.138
8/15/22,FC,in,FCi,48,2.079,25.548,24.144
8/15/22,FC,in,FCi,49,2.269,28.138,26.160
8/15/22,FC,in,FCi,50,2.105,29.701,27.755
8/15/22,FC,in,FCi,51,2.094,20.113,19.392
8/15/22,FC,in,FCi,52,2.109,13.657,13.201
8/15/22,FC,in,FCi,53,2.105,32.563,30.572
8/15/22,FC,in,FCi,54,2.112,33.394,32.370
8/15/22,FC,in,FCi,55,2.125,30.404,28.481
8/15/22,FC,in,FCi,56,2.111,18.134,17.457
8/15/22,FC,in,FCi,57,2.115,24.840,23.902
8/15/22,FC,in,FCi,58,2.095,21.032,19.431
8/15/22,FC,in,FCi,59,2.103,16.758,16.141
8/15/22,FC,in,FCi,60,2.101,28.515,27.736
8/15/22,BP,out,BPo,61,2.116,19.112,18.864
8/15/22,BP,out,BPo,62,2.141,15.397,15.030
8/15/22,BP,out,BPo,63,2.086,22.445,21.986
8/15/22,BP,out,BPo,64,2.104,10.356,10.151
8/15/22,BP,out,BPo,65,2.099,16.309,15.921
8/15/22,BP,out,BPo,66,2.098,34.313,33.887
8/15/22,BP,out,BPo,67,2.111,17.849,17.589
8/15/22,BP,out,BPo,68,2.127,18.444,18.471
8/15/22,BP,out,BPo,69,2.112,14.109,14.050
8/15/22,BP,out,BPo,70,2.132,14.833,14.713
