date,gear,loc,trt,oyster_num,s_boat,t_boat,clean_wt_in_S,dry_tissue_in_T,dry_shell_in_S
6/16/22,initial,initial,initial,1,2.122,2.120,12.635,2.318,8.941
6/16/22,initial,initial,initial,2,2.132,2.123,8.831,2.249,6.744
6/16/22,initial,initial,initial,3,2.117,2.123,3.618,2.163,3.000
6/16/22,initial,initial,initial,4,2.123,2.134,15.142,2.430,10.226
6/16/22,initial,initial,initial,5,2.110,2.118,4.526,2.166,3.401
6/16/22,initial,initial,initial,6,2.091,2.107,9.451,2.288,6.837
6/16/22,initial,initial,initial,7,2.098,2.115,12.859,2.335,8.920
6/16/22,initial,initial,initial,8,2.111,2.124,10.283,2.293,7.400
6/16/22,initial,initial,initial,9,2.105,2.117,9.128,2.324,6.548
6/16/22,initial,initial,initial,10,2.130,2.112,8.520,2.247,6.579
6/16/22,initial,initial,initial,11,2.115,2.098,16.494,2.362,10.901
6/16/22,initial,initial,initial,12,2.104,2.109,7.927,2.236,5.745
6/16/22,initial,initial,initial,13,2.088,2.107,9.871,2.283,7.331
6/16/22,initial,initial,initial,14,2.121,2.112,13.755,2.409,8.887
6/16/22,initial,initial,initial,15,2.123,2.104,9.415,2.292,6.711
6/16/22,initial,initial,initial,16,2.125,2.123,7.989,2.271,6.025
6/16/22,initial,initial,initial,17,2.107,2.113,14.468,2.421,10.029
6/16/22,initial,initial,initial,18,2.097,2.104,8.346,2.256,6.021
6/16/22,initial,initial,initial,19,2.124,2.119,19.464,2.552,12.667
6/16/22,initial,initial,initial,20,2.115,2.126,20.325,2.632,13.430
8/15/22,BP,in,BPi,1,2.114,2.118,11.660,2.360,9.189
8/15/22,BP,in,BPi,2,2.116,2.116,27.339,2.875,19.229
8/15/22,BP,in,BPi,3,2.107,2.117,20.830,2.844,15.403
8/15/22,BP,in,BPi,4,2.115,2.123,48.476,3.187,36.701
8/15/22,BP,in,BPi,5,2.100,2.090,19.137,2.580,13.803
8/15/22,BP,in,BPi,6,2.103,2.107,14.978,2.593,10.783
