date,location,gear,trt,cage,bag,oyster_num,height,length,width,tag_num
6/14/22,in,BP,BPi,,,1,41,29,11,BPi
6/14/22,in,BP,BPi,,,2,53,37,15,BPi
6/14/22,in,BP,BPi,,,3,50,24,15,BPi
6/14/22,in,BP,BPi,,,4,55,30,15,BPi
6/14/22,in,BP,BPi,,,5,48,31,12,BPi
6/14/22,in,BP,BPi,,,6,51,30,15,BPi
6/14/22,in,BP,BPi,,,7,35,29,11,BPi
6/14/22,in,BP,BPi,,,8,34,22,10,BPi
6/14/22,in,BP,BPi,,,9,58,39,16,BPi
6/14/22,in,BP,BPi,,,10,52,40,15,BPi
6/14/22,in,BP,BPi,,,11,49,24,12,BPi
6/14/22,in,BP,BPi,,,12,28,20,8,BPi
6/14/22,in,BP,BPi,,,13,41,32,15,BPi
6/14/22,in,BP,BPi,,,14,32,25,15,BPi
6/14/22,in,BP,BPi,,,15,70,41,15,BPi
6/14/22,in,BP,BPi,,,16,55,43,16,BPi
6/14/22,in,BP,BPi,,,17,38,27,10,BPi
6/14/22,in,BP,BPi,,,18,40,30,11,BPi
6/14/22,in,BP,BPi,,,19,44,29,12,BPi
6/14/22,in,BP,BPi,,,20,50,30,11,BPi
6/14/22,in,BP,BPi,,,21,53,36,15,BPi
6/14/22,in,BP,BPi,,,22,58,37,14,BPi
6/14/22,in,BP,BPi,,,23,42,34,14,BPi
6/14/22,in,BP,BPi,,,24,45,29,13,BPi
6/14/22,in,BP,BPi,,,25,65,39,16,BPi
6/14/22,in,BP,BPi,,,26,28,25,9,BPi
6/14/22,in,BP,BPi,,,27,34,26,9,BPi
6/14/22,in,BP,BPi,,,28,46,40,12,BPi
6/14/22,in,BP,BPi,,,29,42,34,13,BPi
6/14/22,in,BP,BPi,,,30,46,29,9,BPi
6/14/22,in,BP,BPi,,,31,70,43,11,BPi
6/14/22,in,BP,BPi,,,32,37,23,10,BPi
6/14/22,in,BP,BPi,,,33,53,39,13,BPi
6/14/22,in,BP,BPi,,,34,56,37,14,BPi
6/14/22,in,BP,BPi,,,35,57,31,11,BPi
6/14/22,in,BP,BPi,,,36,38,26,9,BPi
6/14/22,in,BP,BPi,,,37,37,22,9,BPi
6/14/22,in,BP,BPi,,,38,34,27,10,BPi
6/14/22,in,BP,BPi,,,39,60,35,18,BPi
6/14/22,in,BP,BPi,,,40,47,25,12,BPi
6/14/22,in,BP,BPi,,,41,47,23,12,BPi
6/14/22,in,BP,BPi,,,42,53,32,16,BPi
6/14/22,in,BP,BPi,,,43,49,30,12,BPi
6/14/22,in,BP,BPi,,,44,61,36,16,BPi
6/14/22,in,BP,BPi,,,45,47,35,13,BPi
6/14/22,in,BP,BPi,,,46,67,48,19,BPi
6/14/22,in,BP,BPi,,,47,38,20,17,BPi
6/14/22,in,BP,BPi,,,48,38,29,9,BPi
6/14/22,in,BP,BPi,,,49,55,41,20,BPi
6/14/22,in,BP,BPi,,,50,40,29,10,BPi
6/14/22,in,BP,BPi,,,51,66,40,17,BPi
6/14/22,in,BP,BPi,,,52,35,24,8,BPi
6/14/22,in,BP,BPi,,,53,65,36,14,BPi
6/14/22,in,BP,BPi,,,54,46,36,14,BPi
6/14/22,in,BP,BPi,,,55,55,34,13,BPi
6/14/22,in,BP,BPi,,,56,42,27,11,BPi
6/14/22,in,BP,BPi,,,57,62,39,16,BPi
6/14/22,in,BP,BPi,,,58,54,32,13,BPi
6/14/22,in,BP,BPi,,,59,27,20,9,BPi
6/14/22,in,BP,BPi,,,60,45,34,13,BPi
6/14/22,in,BP,BPi,,,61,38,24,7,BPi
6/14/22,in,BP,BPi,,,62,35,25,10,BPi
6/14/22,in,BP,BPi,,,63,57,30,14,BPi
6/14/22,in,BP,BPi,,,64,44,32,13,BPi
6/14/22,in,BP,BPi,,,65,25,20,7,BPi
6/14/22,in,BP,BPi,,,66,30,23,8,BPi
6/14/22,in,BP,BPi,,,67,50,39,14,BPi
6/14/22,in,BP,BPi,,,68,45,33,16,BPi
6/14/22,in,BP,BPi,,,69,51,29,14,BPi
6/14/22,in,BP,BPi,,,70,32,23,8,BPi
6/14/22,in,BP,BPi,,,71,29,19,8,BPi
6/14/22,in,BP,BPi,,,72,55,34,11,BPi
6/14/22,in,BP,BPi,,,73,52,34,14,BPi
6/14/22,in,BP,BPi,,,74,47,35,11,BPi
6/14/22,in,BP,BPi,,,75,35,28,9,BPi
6/14/22,in,BP,BPi,,,76,60,36,13,BPi
6/14/22,in,BP,BPi,,,77,42,29,10,BPi
6/14/22,in,BP,BPi,,,78,64,36,18,BPi
6/14/22,in,BP,BPi,,,79,60,26,14,BPi
6/14/22,in,BP,BPi,,,80,54,35,13,BPi
6/14/22,in,BP,BPi,,,81,60,32,17,BPi
6/14/22,in,BP,BPi,,,82,56,32,16,BPi
6/14/22,in,BP,BPi,,,83,29,25,9,BPi
6/14/22,in,BP,BPi,,,84,37,25,8,BPi
6/14/22,in,BP,BPi,,,85,37,28,10,BPi
6/14/22,in,BP,BPi,,,86,35,25,10,BPi
6/14/22,in,BP,BPi,,,87,50,38,15,BPi
6/14/22,in,BP,BPi,,,88,31,19,9,BPi
6/14/22,in,BP,BPi,,,89,35,23,9,BPi
6/14/22,in,BP,BPi,,,90,39,30,12,BPi
6/14/22,in,BP,BPi,,,91,30,25,9,BPi
6/14/22,in,BP,BPi,,,92,50,37,11,BPi
