gear,location,trt,bag_id,cage_id,num_remaining
FB,in,FBi,FBi_1,,132
FB,in,FBi,FBi_2,,133
FB,in,FBi,FBi_3,,133
FB,out,FBo,FBo_1,,145
FB,out,FBo,FBo_2,,117
FB,out,FBo,FBo_3,,126
FC,in,FCi,FCi_1a,FCi_1,157
FC,in,FCi,FCi_1b,FCi_1,160
FC,in,FCi,FCi_1c,FCi_1,160
FC,in,FCi,FCi_1d,FCi_1,154
FC,in,FCi,FCi_2a,FCi_2,161
FC,in,FCi,FCi_2b,FCi_2,162
FC,in,FCi,FCi_2c,FCi_2,159
FC,in,FCi,FCi_2d,FCi_2,165
FC,in,FCi,FCi_3a,FCi_3,162
FC,in,FCi,FCi_3b,FCi_3,152
FC,in,FCi,FCi_3c,FCi_3,161
FC,in,FCi,FCi_3d,FCi_3,160
FC,out,FCo,FCo_1a,FCo_1,159
FC,out,FCo,FCo_1b,FCo_1,164
FC,out,FCo,FCo_1c,FCo_1,156
FC,out,FCo,FCo_1d,FCo_1,166
FC,out,FCo,FCo_2a,FCo_2,167
FC,out,FCo,FCo_2b,FCo_2,171
FC,out,FCo,FCo_2c,FCo_2,164
FC,out,FCo,FCo_2d,FCo_2,170
FC,out,FCo,FCo_3a,FCo_3,166
FC,out,FCo,FCo_3b,FCo_3,163
FC,out,FCo,FCo_3c,FCo_3,159
FC,out,FCo,FCo_3d,FCo_3,164
