------------------------------------------------------------
GHCN-daily V4 for Newcastle (USC00175675)
Original variables TMAX TMIN PRCP
Units: temperature degrees F and precipitation inches
Maine Climate Office (http://mco.umaine.edu)
Climate Change Institute
University of Maine USA
------------------------------------------------------------
Date,Day Num,Tmax,Tmin,Tavg,Rec Tmax,Year,Rec Tmin,Year,Norm Tmax,Norm Tmin,Norm Tavg,Tmax Anom,Tmin Anom,Tavg Anom,Prcp,Rec Prcp,Year
2022/1/1,1,42,36,39,55,1966,-11,2018,31,17,24,11,19,15,0.118,1.059,1973
2022/1/2,2,40,32,36,51,1979,-12,1968,31,16,24,9,16,12,0.059,1.142,1987
2022/1/3,3,32,11,22,50,2000,-12,1981,30,14,22,2,-3,-0,0.012,0.902,1986
2022/1/4,4,21,-2,10,46,1993,-20,1981,29,15,22,-8,-17,-12,0.000,1.240,1982
2022/1/5,5,46,17,32,53,1993,-12,1981,31,15,23,15,2,8,0.272,1.488,1992
2022/1/6,6,46,31,38,57,2007,-8,1996,29,14,22,17,17,17,0.079,1.142,2014
2022/1/7,7,31,23,27,53,2007,-10,2018,29,15,22,2,8,5,0.311,1.421,1969
2022/1/8,8,23,6,14,55,2008,-14,1968,28,12,20,-5,-6,-6,0.000,1.709,1979
2022/1/9,9,36,5,20,53,1978,-14,1968,27,12,20,9,-7,1,0.260,1.500,1978
2022/1/10,10,37,15,26,49,1972,-12,1968,28,13,20,9,2,6,0.000,2.331,2024
2022/1/11,11,15,-8,4,54,1983,-13,1976,29,12,20,-14,-20,-17,0.000,1.449,1987
2022/1/12,12,27,-8,10,51,1980,-14,1968,30,13,22,-3,-21,-12,0.000,0.941,1991
2022/1/13,13,34,18,26,52,2018,-10,1971,31,15,23,3,3,3,0.000,1.858,2018
2022/1/14,14,34,26,30,52,2005,-16,2004,31,13,22,3,13,8,0.000,1.961,2006
2022/1/15,15,29,-7,11,52,1995,-11,2004,28,12,20,1,-19,-9,0.000,1.539,1999
2022/1/16,16,19,-10,4,53,1995,-15,1994,28,11,20,-9,-21,-15,0.000,1.480,2021
2022/1/17,17,46,11,28,54,1995,-11,1974,28,10,19,18,1,10,1.681,1.681,2022
2022/1/18,18,41,13,27,54,1990,-15,1982,29,11,20,12,2,7,0.000,1.799,1994
2022/1/19,19,37,-1,18,50,1996,-11,2005,29,13,21,8,-14,-3,0.000,0.949,1999
2022/1/20,20,38,20,29,50,1996,-16,1971,30,14,22,8,6,7,0.000,1.350,1986
2022/1/21,21,30,-5,12,49,2006,-11,1994,27,10,18,3,-15,-6,0.000,2.591,1979
2022/1/22,22,13,-10,2,50,2006,-15,2005,28,10,19,-15,-20,-18,0.000,0.850,1974
2022/1/23,23,28,0,14,48,1969,-14,1976,30,13,22,-2,-13,-8,0.000,1.150,2018
2022/1/24,24,24,10,17,52,1999,-13,2011,32,15,24,-8,-5,-6,0.000,2.130,1998
2022/1/25,25,26,14,20,48,1996,-10,2004,31,15,23,-5,-1,-3,0.161,1.941,1997
2022/1/26,26,22,4,13,52,1978,-11,1982,31,14,22,-9,-10,-10,0.000,2.630,2023
2022/1/27,27,19,-15,2,56,1974,-15,2022,31,14,22,-12,-29,-20,0.000,1.598,1986
2022/1/28,28,28,8,18,55,1974,-13,1971,31,14,22,-3,-6,-4,0.000,1.579,1994
2022/1/29,29,24,2,13,47,1994,-10,1971,30,14,22,-6,-12,-9,0.559,0.870,1973
2022/1/30,30,11,-1,5,49,2013,-5,1993,30,14,22,-19,-15,-17,0.390,1.480,1990
2022/1/31,31,17,-5,6,54,2013,-14,1993,29,13,21,-12,-18,-15,0.000,0.780,1984
2022/2/1,32,21,2,12,56,1989,-13,1973,30,13,22,-9,-11,-10,0.000,1.051,1982
2022/2/2,33,40,15,28,51,1976,-10,1971,32,15,24,8,0,4,0.000,1.441,1976
2022/2/3,34,41,36,38,51,1973,-15,2023,31,15,23,10,21,16,0.169,2.209,1999
2022/2/4,35,39,13,26,52,2016,-24,2023,30,14,22,9,-1,4,0.980,1.701,1970
2022/2/5,36,17,8,12,53,2019,-8,1996,30,13,22,-13,-5,-9,0.071,1.260,1995
2022/2/6,37,18,-7,6,47,2005,-11,1988,28,12,20,-10,-19,-14,0.000,1.091,2001
2022/2/7,38,34,13,24,45,2005,-18,1993,29,12,20,5,1,3,0.000,0.598,2020
2022/2/8,39,37,32,34,46,1991,-4,1972,30,13,22,7,19,13,0.480,0.650,1983
2022/2/9,40,42,28,35,50,1990,-4,1994,30,12,21,12,16,14,0.000,1.020,2013
2022/2/10,41,43,28,36,50,2024,-8,1979,31,14,22,12,14,13,0.000,0.909,2005
2022/2/11,42,43,29,36,52,1966,-10,1979,31,14,22,12,15,14,0.000,1.772,1970
2022/2/12,43,49,40,44,51,1981,-10,1979,31,12,22,18,28,23,0.000,0.969,1998
2022/2/13,44,45,20,32,48,1999,-16,1967,31,13,22,14,7,10,0.000,1.799,2008
2022/2/14,45,20,4,12,47,1971,-12,2003,31,13,22,-11,-9,-10,0.000,2.161,1971
2022/2/15,46,20,-1,10,50,1984,-10,2003,32,14,23,-12,-15,-14,0.000,1.358,1984
2022/2/16,47,35,1,18,55,2023,-11,2003,34,17,26,1,-16,-8,0.000,1.539,1992
2022/2/17,48,52,35,44,55,1981,-9,1979,33,15,24,19,20,20,0.000,1.858,1993
2022/2/18,49,53,23,38,60,1981,-11,1979,33,14,24,20,9,14,0.228,1.130,2008
2022/2/19,50,31,5,18,53,2017,-5,1967,34,17,26,-3,-12,-8,0.000,1.539,2009
2022/2/20,51,29,6,18,56,1994,-12,1966,36,19,28,-7,-13,-10,0.000,1.551,1974
2022/2/21,52,50,22,36,59,2018,-13,1966,35,19,27,15,3,9,0.000,0.728,1989
2022/2/22,53,45,31,38,56,2018,-7,1972,38,20,29,7,11,9,0.000,1.689,1996
2022/2/23,54,63,35,49,63,2022,-17,1972,37,21,29,26,14,20,0.791,1.591,2009
2022/2/24,55,44,9,26,56,2000,-12,2015,34,18,26,10,-9,0,0.000,0.969,1979
2022/2/25,56,23,7,15,54,1984,-5,2023,33,18,26,-10,-11,-10,0.350,3.559,2010
2022/2/26,57,23,-6,8,49,2017,-6,2022,34,17,26,-11,-23,-17,0.012,1.520,1984
