Date,Turbidity,Location
6/14/22,0.98,Inside
6/14/22,1.22,Inside
6/14/22,1.06,Inside
6/14/22,1.04,Inside
6/14/22,0.92,Inside
6/14/22,3.26,Outside
6/14/22,2.09,Outside
6/14/22,2.00,Outside
6/14/22,2.14,Outside
6/14/22,2.12,Outside
6/22/22,0.90,Inside
6/22/22,0.93,Inside
6/22/22,0.84,Inside
6/22/22,0.83,Inside
6/22/22,0.85,Inside
6/22/22,1.33,Outside
6/22/22,1.49,Outside
6/22/22,1.36,Outside
6/22/22,1.38,Outside
6/22/22,1.31,Outside
6/29/22,1.36,Inside
6/29/22,1.40,Inside
6/29/22,1.30,Inside
6/29/22,1.39,Inside
6/29/22,1.38,Inside
6/29/22,3.72,Outside
6/29/22,4.09,Outside
6/29/22,4.09,Outside
6/29/22,3.90,Outside
6/29/22,3.31,Outside
7/6/22,1.75,Inside
7/6/22,1.83,Inside
7/6/22,1.82,Inside
7/6/22,1.83,Inside
7/6/22,1.79,Inside
7/6/22,1.92,Outside
7/6/22,1.89,Outside
7/6/22,1.63,Outside
7/6/22,1.70,Outside
7/6/22,2.15,Outside
7/12/22,1.79,Inside
7/12/22,1.71,Inside
7/12/22,1.74,Inside
7/12/22,1.80,Inside
7/12/22,1.87,Inside
7/12/22,2.28,Outside
7/12/22,2.13,Outside
7/12/22,2.38,Outside
7/12/22,2.68,Outside
7/12/22,2.22,Outside
7/19/22,1.94,Inside
7/19/22,1.94,Inside
7/19/22,1.92,Inside
7/19/22,1.96,Inside
7/19/22,1.95,Inside
7/19/22,4.53,Outside
7/19/22,3.85,Outside
7/19/22,4.02,Outside
7/19/22,4.13,Outside
7/19/22,3.99,Outside
7/27/22,2.92,Inside
7/27/22,3.15,Inside
7/27/22,2.70,Inside
7/27/22,2.81,Inside
7/27/22,3.00,Inside
7/27/22,3.61,Outside
7/27/22,3.47,Outside
7/27/22,3.61,Outside
7/27/22,3.55,Outside
7/27/22,3.56,Outside
8/2/22,2.98,Inside
8/2/22,3.07,Inside
8/2/22,3.11,Inside
8/2/22,2.99,Inside
8/2/22,3.01,Inside
8/2/22,3.53,Outside
8/2/22,3.92,Outside
8/2/22,4.42,Outside
8/2/22,4.00,Outside
8/2/22,3.71,Outside
8/10/22,2.75,Inside
8/10/22,3.23,Inside
8/10/22,2.65,Inside
8/10/22,2.70,Inside
8/10/22,2.69,Inside
8/10/22,15.0,Outside
8/10/22,15.5,Outside
8/10/22,10.5,Outside
8/10/22,11.2,Outside
8/10/22,14.4,Outside
8/16/22,1.98,Inside
8/16/22,1.93,Inside
8/16/22,2.13,Inside
8/16/22,1.93,Inside
8/16/22,1.84,Inside
8/16/22,3.37,Outside
8/16/22,3.76,Outside
8/16/22,3.28,Outside
8/16/22,3.27,Outside
8/16/22,3.02,Outside
9/28/22,3.09,Inside
9/28/22,3.52,Inside
9/28/22,3.37,Inside
9/28/22,3.54,Inside
9/28/22,3.13,Inside
9/28/22,4.07,Outside
9/28/22,4.33,Outside
9/28/22,4.58,Outside
9/28/22,7.08,Outside
9/28/22,4.15,Outside
10/17/22,2.65,Inside
10/17/22,1.93,Inside
10/17/22,1.99,Inside
10/17/22,2.03,Inside
10/17/22,2.18,Inside
10/17/22,5.25,Outside
10/17/22,5.34,Outside
10/17/22,5.20,Outside
10/17/22,5.22,Outside
10/17/22,6.36,Outside
